Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
Jindal Capital,530405,,INE356F01017,Finance,Other Financial Services,35.98,25.93,11.16,9.69,1.16,59.64,-6.59,96.03,20.74,2.84,0.04,39.93,71.34,0.00,0.00
Jindal Leasefin,539947,,INE919T01013,Finance,Investment Company,82.35,24.78,24.97,15.67,0.00,90.00,520.58,123.74,27.23,2.16,0.00,19.12,73.11,0.00,-0.24
Jindal Photo,532624,JINDALPHOT,INE796G01012,Finance,Investment Company,1026.60,1053.12,-1.38,-2.29,0.06,-505.75,16.92,,,-54.16,3.63,1117.87,74.20,0.00,1.44
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019,Finance,Investment Company,1025.00,1077.28,63.41,54.80,0.01,87.75,-30.78,44.76,1.33,959.42,0.00,1100.70,74.63,0.00,0.00
Jio Financial,543940,JIOFIN,INE758E01017,Finance,Investment Company,238.40,157418.90,1.86,1.19,0.16,66.16,328.21,293.11,76.18,3526.99,326.06,175588.97,49.13,0.00,
JM Financial,523405,JMFINANCIL,INE780C01023,Finance,Holding Company,129.29,12372.54,11.63,11.94,1.09,56.45,8.65,26.80,11.72,2459.57,625.17,19139.06,57.03,0.00,0.55
JMJ Fintech,538834,,INE242Q01016,Finance,Non Banking Financial Company (NBFC),9.52,35.83,20.24,19.08,0.57,66.94,78.76,310.34,4.25,14.69,5.17,60.57,23.27,0.00,-0.29
Joindre Capital,531861,,INE024B01010,Capital Markets,Stockbroking & Allied,49.26,68.16,12.39,6.84,0.01,27.00,11.70,23.70,9.08,10.65,1.05,-31.15,63.95,0.00,0.23
Jolly Plastic,507968,,INE289M01016,Finance,Investment Company,48.44,118.10,0.15,0.15,0.00,-216.67,7.34,0.00,,-0.38,0.00,117.95,0.01,0.00,-0.03
JPT Securities,530985,,INE630C01012,Finance,Non Banking Financial Company (NBFC),18.46,5.55,-976.81,,0.18,-6730.00,-40.30,,,-6.74,0.01,6.24,60.09,0.00,0.00
JSW Holdings,532642,JSWHL,INE824G01012,Finance,Investment Company,11578.00,12851.58,0.53,0.40,0.00,91.32,-23.87,-25.60,102.70,168.14,0.01,12848.99,66.28,0.00,0.00
K Z Leasing,511728,,INE006C01015,Finance,Non Banking Financial Company (NBFC),20.57,6.25,4.87,-1.22,1.44,-311.43,17.58,,21.55,2.43,0.06,28.42,30.25,0.00,0.00
Kalyan Capitals,538778,,INE149Q01021,Finance,Non Banking Financial Company (NBFC),6.88,36.13,13.25,9.09,4.97,90.94,20.47,8.30,11.02,34.83,2.53,291.45,67.61,0.00,-0.96
Kalyani Invest.,533302,KICL,INE029L01018,Finance,Investment Company,5180.00,2263.66,0.49,0.37,0.00,63.13,11.92,-14.13,55.71,53.89,0.05,1953.55,74.98,0.00,0.00
Kama Holdings,532468,KAMAHOLD,INE411F01010,Finance,Holding Company,2374.60,7620.23,14.00,12.63,0.63,21.50,1.81,-8.24,6.72,3071.99,13969.40,11999.95,75.00,0.00,-0.05
Kanungo Financi.,540515,,INE453S01015,Finance,Other Financial Services,15.86,7.35,8.44,9.57,0.39,,,34.31,12.46,1.21,0.00,9.03,4.40,0.00,-16.10
Kapil Raj Financ,539679,,INE332Q01023,Finance,Non Banking Financial Company (NBFC),1.56,17.07,3.98,3.99,0.00,70.00,18.56,26.77,25.86,0.66,0.00,16.18,0.00,0.00,0.00
Karnataka Bank,532652,KTKBANK,INE614B01018,Banks,Private Sector Bank,330.35,12497.17,6.06,10.36,8.63,68.49,7.29,3.54,8.70,7591.03,1060.16,119539.75,0.00,0.00,0.00
Karnavati Financ,538928,,INE554R01020,Finance,Non Banking Financial Company (NBFC),1.34,13.47,-4.37,-81.04,13.83,0.41,23.05,,18.45,5.86,0.00,73.26,62.06,0.00,3.42
Kartik Invest.,501151,,INE524U01019,Finance,Other Financial Services,8547.35,208.56,94.76,80.95,0.00,98.13,394.88,535.79,40.34,6.04,0.00,202.75,74.81,0.00,0.00
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Banks,Private Sector Bank,346.00,33442.71,7.62,19.10,8.38,67.78,19.33,31.02,12.19,9911.26,454.81,146576.62,2.07,3.85,-0.17
KBS India,530357,,INE883D01023,Finance,Other Financial Services,1.39,15.04,0.39,0.26,0.03,-75.57,12.64,-19.10,,-0.04,0.20,13.65,28.77,0.00,-1.39
KEN Fin.Serv.,530547,,INE395E01018,Finance,Non Banking Financial Company (NBFC),15.00,4.50,6.36,5.75,1.15,-226.01,-49.64,-11.48,9.57,1.04,0.00,13.24,1.40,0.00,0.00
Key Corp,507948,,INE130F01016,Finance,Non Banking Financial Company (NBFC),80.60,48.36,-4.07,-4.07,0.00,-14.25,-71.62,,,-1.32,0.39,48.13,69.08,0.00,0.00
Keynote Finan.,512597,KEYFINSERV,INE681C01015,Capital Markets,Stockbroking & Allied,254.20,141.50,6.90,4.88,0.03,38.89,18.67,84.10,24.27,13.20,19.12,133.79,71.87,0.00,15.45
KFin Technolog.,543720,KFINTECH,INE138Y01010,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",949.95,16421.98,29.19,21.61,0.03,38.80,21.81,19.35,46.87,483.86,1773.49,16265.16,22.82,0.00,-26.40
Khandwala Sec.,531892,KHANDSE,INE060B01014,Capital Markets,Stockbroking & Allied,17.05,26.01,-3.47,-4.49,0.10,-18.60,6.95,,,-0.34,4.18,28.46,48.78,23.29,1.09
Kiduja India,507946,,INE845A01028,Finance,Non Banking Financial Company (NBFC),21.60,51.84,27.16,,,-124.88,112.55,32.75,,-7.37,0.00,84.28,75.00,0.00,9.99
KIFS Financial,535566,,INE902D01013,Finance,Non Banking Financial Company (NBFC),112.05,121.24,8.18,13.27,6.02,95.94,5.39,7.68,14.54,36.80,1.83,479.91,74.41,0.00,0.00
Kinetic Trust,531274,,INE674M01019,Finance,Non Banking Financial Company (NBFC),60.99,20.49,5.72,3.66,5.55,77.25,86.45,51.83,157.62,1.29,0.24,42.93,71.42,0.00,0.00
Kiran Vyapar,537750,KIRANVYPAR,INE555P01013,Finance,Non Banking Financial Company (NBFC),198.24,540.88,1.59,0.05,0.22,39.33,16.59,-70.33,78.27,53.68,1.40,859.22,74.95,0.00,0.00
KJMC Corporate,532304,,INE602C01011,Finance,Other Financial Services,66.70,26.19,5.87,3.14,0.10,29.24,27.96,71.29,12.90,4.11,3.74,6.27,70.03,0.00,3.69
KJMC Financial,530235,,INE533C01018,Finance,Non Banking Financial Company (NBFC),66.97,32.05,2.56,1.24,0.13,64.68,29.26,56.70,13.47,4.88,1.12,45.56,74.40,0.00,0.60
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036,Banks,Private Sector Bank,423.70,421482.19,6.98,11.39,3.65,23.75,18.30,8.94,21.04,56875.82,3800.56,1032534.31,25.87,0.00,-0.07
Kreon Finnancial,530139,,INE302C01018,Finance,Non Banking Financial Company (NBFC),83.90,169.66,18.59,21.66,1.00,21.91,65.47,16.60,21.50,12.97,3.88,196.55,60.53,0.00,9.93
Krishna Capital,539384,,INE897B01019,Finance,Non Banking Financial Company (NBFC),41.38,13.07,-1.92,-2.08,0.00,-22.03,-0.86,,,-0.05,0.01,12.58,42.87,0.00,0.00
Kuber Udyog,539408,,INE594R01018,Finance,Non Banking Financial Company (NBFC),53.55,18.38,8.77,12.03,0.22,39.16,36.32,100.00,29.65,0.67,0.00,19.09,0.00,0.00,0.00
Kumbhat Fin.,526869,,INE795E01019,Finance,Non Banking Financial Company (NBFC),17.16,9.14,11.73,14.54,3.21,36.86,178.13,102.47,11.28,2.82,0.01,28.63,24.82,0.00,11.05
L&T Finance Ltd,533519,LTF,INE498L01015,Finance,Non Banking Financial Company (NBFC),314.30,78765.02,8.40,11.22,3.94,61.23,11.93,255.77,24.59,11374.15,1307.63,181103.64,65.96,0.00,-0.14
