Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,67.85,13220.85,7.73,10.75,7.25,43.84,18.51,-14.27,14.59,4331.35,457.27,59515.52,0.00,0.00,-73.67
Unifinz Capital,541358,,INE926R01012,Finance,Non Banking Financial Company (NBFC),100.00,442.68,55.21,72.11,1.69,28.62,282.42,443.38,5.05,173.32,3.19,681.79,19.84,0.00,-52.01
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,186.00,141985.06,6.30,15.70,9.74,68.09,9.58,31.65,6.88,94910.90,11629.43,1458368.15,74.76,0.00,-8.73
United Credit,531091,,INE858C01027,Finance,Non Banking Financial Company (NBFC),23.75,12.65,3.62,2.83,0.01,34.39,2.12,6.10,15.81,1.05,0.43,12.35,57.31,0.00,-0.54
Upsurge Invest.,531390,,INE890B01014,Finance,Non Banking Financial Company (NBFC),67.79,148.61,5.25,2.91,0.04,23.06,17.94,86.24,12.79,15.59,0.13,135.49,54.56,0.00,0.16
Usha Financial,,USHAFIN,INE0LS001014,Finance,Non Banking Financial Company (NBFC),47.15,204.99,13.51,10.25,0.77,78.99,15.60,30.23,8.15,56.98,23.13,374.55,74.97,0.00,
Ushakiran Fin.,511507,,INE697C01011,Finance,Non Banking Financial Company (NBFC),31.24,7.93,0.13,-0.27,0.00,12.24,6.42,,,0.03,0.12,7.70,47.82,0.00,1.08
UTI AMC,543238,UTIAMC,INE094J01016,Capital Markets,Asset Management Company,887.70,11410.41,15.57,10.33,0.03,44.52,10.40,2.42,21.37,815.53,404.86,11107.31,0.00,0.00,0.00
Utkarsh Small F.,543942,UTKARSHBNK,INE735W01017,Banks,Other Bank,14.68,2612.34,1.46,-40.03,8.82,7.08,10.49,,,651.29,332.70,25403.61,42.67,0.00,
UVS Hospitality,531652,,INE528C01018,Finance,Non Banking Financial Company (NBFC),80.05,326.12,9.49,9.26,0.07,20.23,,,14.28,24.47,196.51,334.38,40.32,0.00,-5.34
V B Desai Fin.,511110,,INE848D01018,Finance,Other Financial Services,19.40,8.79,9.29,6.97,0.00,7.80,12.37,41.05,9.16,1.33,0.04,8.07,42.27,0.00,0.00
V B Industries,539123,,INE334E01017,Finance,Investment Company,8.54,11.19,0.21,0.15,0.00,-28.31,44.82,8.37,65.82,0.23,0.00,10.96,0.00,0.00,0.00
Vaarad Ventures,532320,,INE418B01048,Finance,Non Banking Financial Company (NBFC),9.65,241.16,-0.85,-0.99,0.18,-346.15,,1.43,,-1.86,13.76,245.06,71.19,0.00,0.00
Vani Commercials,538918,,INE661Q01017,Finance,Non Banking Financial Company (NBFC),7.58,22.29,4.51,2.62,2.22,36.95,,,54.37,2.00,0.25,52.75,0.00,0.00,-8.65
Vardhman Hold.,500439,VHL,INE701A01023,Finance,Investment Company,3506.90,1118.70,6.28,5.91,0.00,87.44,27.72,-1.85,4.45,266.20,3.18,1117.20,74.90,0.00,0.00
Vedant Asset,543623,,INE0NC801013,Capital Markets,Financial Products Distributor,71.60,19.77,9.23,6.84,0.00,7.79,30.44,15.44,49.42,0.54,0.83,17.14,73.16,0.00,0.33
Vertex Secur.,531950,,INE316D01024,Finance,Other Financial Services,3.33,36.05,-12.04,-25.04,0.59,-44.18,-5.17,,,-2.37,1.65,31.79,36.44,0.00,-36.97
Vibrant Glo. Cap,538732,VGCL,INE761Q01015,Finance,Non Banking Financial Company (NBFC),57.75,132.29,10.91,10.52,0.26,16.27,-2.83,60.58,5.04,34.28,25.93,172.80,71.59,0.00,0.30
Viji Finance,537820,VIJIFIN,INE159N01027,Finance,Non Banking Financial Company (NBFC),15.04,347.42,10.16,8.80,0.31,75.97,35.85,64.82,84.12,5.04,1.38,354.23,31.03,0.00,-14.94
Vintage Secur.,531051,,INE153C01015,Finance,Non Banking Financial Company (NBFC),14.45,5.30,0.95,0.87,0.00,,,58.74,31.18,0.18,0.04,5.21,53.79,0.00,0.00
VIRAT LEASING,539167,,INE347L01022,Finance,Non Banking Financial Company (NBFC),58.78,152.60,-4.39,-4.77,0.00,-75.90,-4.22,,,-0.63,0.12,152.41,0.00,0.00,0.00
Visagar Finan.,531025,,INE309H01038,Finance,Other Financial Services,0.30,17.52,1.06,-0.60,0.51,24.68,-42.34,,27.38,2.02,0.22,48.14,5.95,0.00,0.51
VLS Finance,511333,VLSFINANCE,INE709A01018,Finance,Investment Company,243.75,764.85,0.96,0.95,0.00,64.51,-22.36,-27.04,16.41,46.89,122.98,678.52,56.39,0.00,5.54
Voltaire Leasing,509038,,INE763D01019,Finance,Non Banking Financial Company (NBFC),17.50,7.21,0.06,0.06,0.00,-23.53,-4.41,-62.52,,-0.02,0.02,7.20,2.91,0.00,0.00
Wallfort Fin.,532053,,INE121B01014,Capital Markets,Stockbroking & Allied,85.09,82.43,-2.20,-1.87,0.03,-98.10,-39.40,,41.22,0.48,2.02,57.86,74.97,0.00,0.00
Wealth First Por,544536,WEALTH,INE658T01017,Finance,Other Financial Services,848.30,903.86,34.63,27.71,0.00,64.26,32.45,40.87,27.36,43.97,2.51,902.56,74.04,0.00,0.03
Welspun Investme,533252,WELINV,INE389K01018,Finance,Investment Company,2259.20,824.61,0.58,0.43,0.00,77.13,-12.07,-17.92,267.73,4.10,0.00,819.28,74.58,0.00,0.00
West Leisure,538382,,INE266P01017,Finance,Other Financial Services,72.34,22.09,0.51,0.25,0.00,-26.83,24.31,-10.61,,-0.11,0.00,22.04,71.08,0.00,0.00
Williamson Fin.,519214,,INE188E01017,Finance,Non Banking Financial Company (NBFC),3.93,3.29,-5.80,,,-193900.00,-85.97,20.76,,-4.42,0.00,443.30,62.62,0.00,0.00
Williamson Magor,519224,WILLAMAGOR,INE210A01017,Finance,Investment Company,24.00,26.30,0.43,,,-14451.92,-20.46,25.23,,1.25,0.07,579.96,62.01,0.00,0.00
Worth Investment,538451,,INE114O01020,Finance,Investment Company,3.45,127.90,5.21,8.17,6.64,87.64,51.05,57.26,32.14,15.67,0.00,423.62,57.11,0.00,2.49
WSFX Global,511147,,INE549D01012,Financial Technology (Fintech),Financial Technology (Fintech),63.22,80.12,18.17,15.80,0.41,9.19,30.35,69.99,12.78,10.27,16.51,28.94,57.00,0.00,-5.43
Yamini Invest,511012,,INE457N01025,Finance,Investment Company,0.64,33.65,0.36,0.27,0.16,2.99,0.73,-3.28,673.00,0.06,0.00,44.88,1.77,0.00,0.00
Yes Bank,532648,YESBANK,INE528G01035,Banks,Private Sector Bank,22.10,69368.13,5.98,7.10,7.32,59.44,9.99,68.76,18.38,25354.15,3275.25,440716.37,0.00,0.00,0.00
Yogi Infra Proj.,522209,,INE429B01011,Finance,Other Financial Services,6.60,11.12,3.65,-0.47,1.26,6.44,,13.37,,3.04,2.45,65.56,44.60,0.00,1.96
Yogi Ltd,511702,YOGI,INE290E01011,Finance,Non Banking Financial Company (NBFC),165.40,744.30,12.75,16.74,1.82,6.11,,,56.99,28.15,8.82,963.60,62.68,11.35,2.49
Yunik Managing,533149,,INE143K01019,Finance,Other Financial Services,6.90,9.86,-108.70,-108.70,0.00,-480.00,,,,-0.24,0.00,9.84,22.46,0.00,0.00
